[1] Полевая кухня: Лесный кусок -> Лесный кусок x2 | Станция: kitchen | Уровень: 1 | Нужно: Вода x2, Малина x1
[35] Полевая кухня: Тёплый шашлык -> Тёплый шашлык x1 | Станция: kitchen | Уровень: 5 | Нужно: Шероховатый клык x3, Дикяя пыль x1
[36] Полевая кухня: Ягодный сок -> Ягодный сок x1 | Станция: kitchen | Уровень: 5 | Нужно: Чистый кристалл x4, Сырой камень x2
[37] Полевая кухня: Грибной кусок -> Грибной кусок x2 | Станция: kitchen | Уровень: 5 | Нужно: Лунная пластина x2, Крепкий корень x1
[38] Полевая кухня: Речной рулет -> Речной рулет x1 | Станция: kitchen | Уровень: 5 | Нужно: Янтарный шкура x3, Сухой лист x2
[39] Полевая кухня: Теневой пирог -> Теневой пирог x1 | Станция: kitchen | Уровень: 5 | Нужно: Буревой нить x4, Тонкий слиток x1
[40] Полевая кухня: Янтарная похлёбка -> Янтарная похлёбка x1 | Станция: kitchen | Уровень: 5 | Нужно: Дикяя пыль x2, Шероховатый клык x2
[41] Полевая кухня: Лесный шашлык -> Лесный шашлык x1 | Станция: kitchen | Уровень: 6 | Нужно: Сырой камень x3, Чистый кристалл x1
[42] Полевая кухня: Дымный сок -> Дымный сок x1 | Станция: kitchen | Уровень: 6 | Нужно: Крепкий корень x4, Лунная пластина x2
[43] Полевая кухня: Пряный кусок -> Пряный кусок x1 | Станция: kitchen | Уровень: 6 | Нужно: Сухой лист x2, Янтарный шкура x1
[44] Полевая кухня: Сочный рулет -> Сочный рулет x1 | Станция: kitchen | Уровень: 6 | Нужно: Тонкий слиток x3, Буревой нить x2
[45] Полевая кухня: Тёплый пирог -> Тёплый пирог x1 | Станция: kitchen | Уровень: 6 | Нужно: Шероховатый клык x4, Дикяя пыль x1
[46] Полевая кухня: Ягодная похлёбка -> Ягодная похлёбка x2 | Станция: kitchen | Уровень: 6 | Нужно: Чистый кристалл x2, Сырой камень x2
[47] Полевая кухня: Грибной шашлык -> Грибной шашлык x1 | Станция: kitchen | Уровень: 6 | Нужно: Лунная пластина x3, Крепкий корень x1
[48] Полевая кухня: Речной сок -> Речной сок x1 | Станция: kitchen | Уровень: 6 | Нужно: Янтарный шкура x4, Сухой лист x2
[49] Полевая кухня: Теневой кусок -> Теневой кусок x1 | Станция: kitchen | Уровень: 7 | Нужно: Буревой нить x2, Тонкий слиток x1
[50] Полевая кухня: Янтарный рулет -> Янтарный рулет x1 | Станция: kitchen | Уровень: 7 | Нужно: Дикяя пыль x3, Шероховатый клык x2
[51] Полевая кухня: Лесный пирог -> Лесный пирог x1 | Станция: kitchen | Уровень: 7 | Нужно: Сырой камень x4, Чистый кристалл x1
[52] Полевая кухня: Дымная похлёбка -> Дымная похлёбка x1 | Станция: kitchen | Уровень: 7 | Нужно: Крепкий корень x2, Лунная пластина x2
[53] Полевая кухня: Пряный шашлык -> Пряный шашлык x1 | Станция: kitchen | Уровень: 7 | Нужно: Сухой лист x3, Янтарный шкура x1
[54] Полевая кухня: Сочный сок -> Сочный сок x1 | Станция: kitchen | Уровень: 7 | Нужно: Тонкий слиток x4, Буревой нить x2
[55] Полевая кухня: Тёплый кусок -> Тёплый кусок x2 | Станция: kitchen | Уровень: 7 | Нужно: Шероховатый клык x2, Дикяя пыль x1
[56] Полевая кухня: Ягодный рулет -> Ягодный рулет x1 | Станция: kitchen | Уровень: 7 | Нужно: Чистый кристалл x3, Сырой камень x2
[57] Полевая кухня: Грибной пирог -> Грибной пирог x1 | Станция: kitchen | Уровень: 8 | Нужно: Лунная пластина x4, Крепкий корень x1
[58] Полевая кухня: Речная похлёбка -> Речная похлёбка x1 | Станция: kitchen | Уровень: 8 | Нужно: Янтарный шкура x2, Сухой лист x2
[59] Полевая кухня: Теневой шашлык -> Теневой шашлык x1 | Станция: kitchen | Уровень: 8 | Нужно: Буревой нить x3, Тонкий слиток x1
[60] Полевая кухня: Янтарный сок -> Янтарный сок x1 | Станция: kitchen | Уровень: 8 | Нужно: Дикяя пыль x4, Шероховатый клык x2
[61] Полевая кухня: Сытный суп №1 -> Сытный суп №1 x1 | Станция: kitchen | Уровень: 8 | Нужно: Сырой камень x2, Чистый кристалл x1
[62] Полевая кухня: Пикантный рагу №2 -> Пикантный рагу №2 x1 | Станция: kitchen | Уровень: 8 | Нужно: Крепкий корень x3, Лунная пластина x2
[63] Полевая кухня: Копчёный пирог №3 -> Копчёный пирог №3 x1 | Станция: kitchen | Уровень: 8 | Нужно: Сухой лист x4, Янтарный шкура x1
[64] Полевая кухня: Янтарный десерт №4 -> Янтарный десерт №4 x2 | Станция: kitchen | Уровень: 8 | Нужно: Тонкий слиток x2, Буревой нить x2
[65] Полевая кухня: Травяной батончик №5 -> Травяной батончик №5 x1 | Станция: kitchen | Уровень: 9 | Нужно: Шероховатый клык x3, Дикяя пыль x1
[66] Полевая кухня: Пряный настой №6 -> Пряный настой №6 x1 | Станция: kitchen | Уровень: 9 | Нужно: Чистый кристалл x4, Сырой камень x2
[67] Полевая кухня: Лунный сухпаёк №7 -> Лунный сухпаёк №7 x1 | Станция: kitchen | Уровень: 9 | Нужно: Лунная пластина x2, Крепкий корень x1
[68] Полевая кухня: Грозовой пай №8 -> Грозовой пай №8 x1 | Станция: kitchen | Уровень: 9 | Нужно: Янтарный шкура x3, Сухой лист x2
[69] Полевая кухня: Тёплый желе №9 -> Тёплый желе №9 x1 | Станция: kitchen | Уровень: 9 | Нужно: Буревой нить x4, Тонкий слиток x1
[70] Полевая кухня: Охотничий салат №10 -> Охотничий салат №10 x1 | Станция: kitchen | Уровень: 9 | Нужно: Дикяя пыль x2, Шероховатый клык x2
[71] Кузница стаи: Охотничий шлем -> Охотничий шлем x1 | Станция: forge | Уровень: 3 | Нужно: Ветка x2, Кость x3, Толстая шкура x1
[72] Кузница стаи: Боевой доспех -> Боевой доспех x1 | Станция: forge | Уровень: 3 | Нужно: Камень x3, Кожа x4, Сталь x2
[73] Кузница стаи: Теневые наручи -> Теневые наручи x1 | Станция: forge | Уровень: 3 | Нужно: Верёвка x4, Железная руда x2, Янтарь x1
[74] Кузница стаи: Грозовые поножи -> Грозовые поножи x1 | Станция: forge | Уровень: 3 | Нужно: Гриб x2, Кристалл x3, Лунная пыль x2
[75] Кузница стаи: Лунный амулет -> Лунный амулет x1 | Станция: forge | Уровень: 3 | Нужно: Малина x3, Клык x4, Пластина титана x1
[76] Кузница стаи: Яростный шлем -> Яростный шлем x1 | Станция: forge | Уровень: 4 | Нужно: Трава x4, Толстая шкура x2, Сердце бури x2
[77] Кузница стаи: Стальной доспех -> Стальной доспех x1 | Станция: forge | Уровень: 4 | Нужно: Перо x2, Сталь x3, Слеза луны x1
[78] Кузница стаи: Скалистые наручи -> Скалистые наручи x1 | Станция: forge | Уровень: 4 | Нужно: Кость x3, Янтарь x4, Сырой камень x2
[79] Кузница стаи: Ловкие поножи -> Ловкие поножи x1 | Станция: forge | Уровень: 4 | Нужно: Кожа x4, Лунная пыль x2, Крепкий корень x1
[80] Кузница стаи: Тотемный амулет -> Тотемный амулет x1 | Станция: forge | Уровень: 4 | Нужно: Железная руда x2, Пластина титана x3, Сухой лист x2
[81] Кузница стаи: Охотничий шлем -> Охотничий шлем x1 | Станция: forge | Уровень: 5 | Нужно: Кристалл x3, Сердце бури x4, Тонкий слиток x1
[82] Кузница стаи: Боевой доспех -> Боевой доспех x1 | Станция: forge | Уровень: 5 | Нужно: Клык x4, Слеза луны x2, Шероховатый клык x2
[83] Кузница стаи: Теневые наручи -> Теневые наручи x1 | Станция: forge | Уровень: 5 | Нужно: Толстая шкура x2, Сырой камень x3, Чистый кристалл x1
[84] Кузница стаи: Грозовые поножи -> Грозовые поножи x1 | Станция: forge | Уровень: 5 | Нужно: Сталь x3, Крепкий корень x4, Лунная пластина x2
[85] Кузница стаи: Лунный амулет -> Лунный амулет x1 | Станция: forge | Уровень: 5 | Нужно: Янтарь x4, Сухой лист x2, Янтарный шкура x1
[86] Кузница стаи: Яростный шлем -> Яростный шлем x1 | Станция: forge | Уровень: 6 | Нужно: Лунная пыль x2, Тонкий слиток x3, Буревой нить x2
[87] Кузница стаи: Стальной доспех -> Стальной доспех x1 | Станция: forge | Уровень: 6 | Нужно: Пластина титана x3, Шероховатый клык x4, Дикяя пыль x1
[88] Кузница стаи: Скалистые наручи -> Скалистые наручи x1 | Станция: forge | Уровень: 6 | Нужно: Сердце бури x4, Чистый кристалл x2, Сырой камень x2
[89] Кузница стаи: Ловкие поножи -> Ловкие поножи x1 | Станция: forge | Уровень: 6 | Нужно: Слеза луны x2, Лунная пластина x3, Крепкий корень x1
[90] Кузница стаи: Тотемный амулет -> Тотемный амулет x1 | Станция: forge | Уровень: 6 | Нужно: Сырой камень x3, Янтарный шкура x4, Сухой лист x2
[91] Кузница стаи: Охотничий шлем -> Охотничий шлем x1 | Станция: forge | Уровень: 7 | Нужно: Крепкий корень x4, Буревой нить x2, Тонкий слиток x1
[92] Кузница стаи: Боевой доспех -> Боевой доспех x1 | Станция: forge | Уровень: 7 | Нужно: Сухой лист x2, Дикяя пыль x3, Шероховатый клык x2
[93] Кузница стаи: Теневые наручи -> Теневые наручи x1 | Станция: forge | Уровень: 7 | Нужно: Тонкий слиток x3, Сырой камень x4, Чистый кристалл x1
[94] Кузница стаи: Грозовые поножи -> Грозовые поножи x1 | Станция: forge | Уровень: 7 | Нужно: Шероховатый клык x4, Крепкий корень x2, Лунная пластина x2
[95] Кузница стаи: Лунный амулет -> Лунный амулет x1 | Станция: forge | Уровень: 7 | Нужно: Чистый кристалл x2, Сухой лист x3, Янтарный шкура x1
[96] Кузница стаи: Яростный шлем -> Яростный шлем x1 | Станция: forge | Уровень: 8 | Нужно: Лунная пластина x3, Тонкий слиток x4, Буревой нить x2
[97] Кузница стаи: Стальной доспех -> Стальной доспех x1 | Станция: forge | Уровень: 8 | Нужно: Янтарный шкура x4, Шероховатый клык x2, Дикяя пыль x1
[98] Кузница стаи: Скалистые наручи -> Скалистые наручи x1 | Станция: forge | Уровень: 8 | Нужно: Буревой нить x2, Чистый кристалл x3, Сырой камень x2
[99] Кузница стаи: Ловкие поножи -> Ловкие поножи x1 | Станция: forge | Уровень: 8 | Нужно: Дикяя пыль x3, Лунная пластина x4, Крепкий корень x1
[100] Кузница стаи: Тотемный амулет -> Тотемный амулет x1 | Станция: forge | Уровень: 8 | Нужно: Сырой камень x4, Янтарный шкура x2, Сухой лист x2
[101] Кузница стаи: Охотничий шлем -> Охотничий шлем x1 | Станция: forge | Уровень: 9 | Нужно: Крепкий корень x2, Буревой нить x3, Тонкий слиток x1
[102] Кузница стаи: Боевой доспех -> Боевой доспех x1 | Станция: forge | Уровень: 9 | Нужно: Сухой лист x3, Дикяя пыль x4, Шероховатый клык x2
[103] Кузница стаи: Теневые наручи -> Теневые наручи x1 | Станция: forge | Уровень: 9 | Нужно: Тонкий слиток x4, Сырой камень x2, Чистый кристалл x1
[104] Кузница стаи: Грозовые поножи -> Грозовые поножи x1 | Станция: forge | Уровень: 9 | Нужно: Шероховатый клык x2, Крепкий корень x3, Лунная пластина x2
[105] Кузница стаи: Лунный амулет -> Лунный амулет x1 | Станция: forge | Уровень: 9 | Нужно: Чистый кристалл x3, Сухой лист x4, Янтарный шкура x1
[106] Кузница стаи: Яростный шлем -> Яростный шлем x1 | Станция: forge | Уровень: 10 | Нужно: Лунная пластина x4, Тонкий слиток x2, Буревой нить x2
[107] Кузница стаи: Стальной доспех -> Стальной доспех x1 | Станция: forge | Уровень: 10 | Нужно: Янтарный шкура x2, Шероховатый клык x3, Дикяя пыль x1
[108] Кузница стаи: Скалистые наручи -> Скалистые наручи x1 | Станция: forge | Уровень: 10 | Нужно: Буревой нить x3, Чистый кристалл x4, Сырой камень x2
[109] Кузница стаи: Ловкие поножи -> Ловкие поножи x1 | Станция: forge | Уровень: 10 | Нужно: Дикяя пыль x4, Лунная пластина x2, Крепкий корень x1
[110] Кузница стаи: Тотемный амулет -> Тотемный амулет x1 | Станция: forge | Уровень: 10 | Нужно: Сырой камень x2, Янтарный шкура x3, Сухой лист x2
[111] Кузница стаи: Охотничий шлем -> Охотничий шлем x1 | Станция: forge | Уровень: 11 | Нужно: Крепкий корень x3, Буревой нить x4, Тонкий слиток x1
[112] Кузница стаи: Боевой доспех -> Боевой доспех x1 | Станция: forge | Уровень: 11 | Нужно: Сухой лист x4, Дикяя пыль x2, Шероховатый клык x2
[113] Кузница стаи: Теневые наручи -> Теневые наручи x1 | Станция: forge | Уровень: 11 | Нужно: Тонкий слиток x2, Сырой камень x3, Чистый кристалл x1
[114] Кузница стаи: Грозовые поножи -> Грозовые поножи x1 | Станция: forge | Уровень: 11 | Нужно: Шероховатый клык x3, Крепкий корень x4, Лунная пластина x2
[115] Кузница стаи: Лунный амулет -> Лунный амулет x1 | Станция: forge | Уровень: 11 | Нужно: Чистый кристалл x4, Сухой лист x2, Янтарный шкура x1
[116] Кузница стаи: Яростный шлем -> Яростный шлем x1 | Станция: forge | Уровень: 12 | Нужно: Лунная пластина x2, Тонкий слиток x3, Буревой нить x2
[117] Кузница стаи: Стальной доспех -> Стальной доспех x1 | Станция: forge | Уровень: 12 | Нужно: Янтарный шкура x3, Шероховатый клык x4, Дикяя пыль x1
[118] Кузница стаи: Скалистые наручи -> Скалистые наручи x1 | Станция: forge | Уровень: 12 | Нужно: Буревой нить x4, Чистый кристалл x2, Сырой камень x2
[119] Кузница стаи: Ловкие поножи -> Ловкие поножи x1 | Станция: forge | Уровень: 12 | Нужно: Дикяя пыль x2, Лунная пластина x3, Крепкий корень x1
[120] Кузница стаи: Тотемный амулет -> Тотемный амулет x1 | Станция: forge | Уровень: 12 | Нужно: Сырой камень x3, Янтарный шкура x4, Сухой лист x2
[121] Кузница стаи: Охотничий шлем -> Охотничий шлем x1 | Станция: forge | Уровень: 13 | Нужно: Крепкий корень x4, Буревой нить x2, Тонкий слиток x1
[122] Кузница стаи: Боевой доспех -> Боевой доспех x1 | Станция: forge | Уровень: 13 | Нужно: Сухой лист x2, Дикяя пыль x3, Шероховатый клык x2
[123] Кузница стаи: Теневые наручи -> Теневые наручи x1 | Станция: forge | Уровень: 13 | Нужно: Тонкий слиток x3, Сырой камень x4, Чистый кристалл x1
[124] Кузница стаи: Грозовые поножи -> Грозовые поножи x1 | Станция: forge | Уровень: 13 | Нужно: Шероховатый клык x4, Крепкий корень x2, Лунная пластина x2
[125] Кузница стаи: Лунный амулет -> Лунный амулет x1 | Станция: forge | Уровень: 13 | Нужно: Чистый кристалл x2, Сухой лист x3, Янтарный шкура x1
[126] Кузница стаи: Яростный шлем -> Яростный шлем x1 | Станция: forge | Уровень: 14 | Нужно: Лунная пластина x3, Тонкий слиток x4, Буревой нить x2
[127] Кузница стаи: Стальной доспех -> Стальной доспех x1 | Станция: forge | Уровень: 14 | Нужно: Янтарный шкура x4, Шероховатый клык x2, Дикяя пыль x1
[128] Кузница стаи: Скалистые наручи -> Скалистые наручи x1 | Станция: forge | Уровень: 14 | Нужно: Буревой нить x2, Чистый кристалл x3, Сырой камень x2
[129] Кузница стаи: Ловкие поножи -> Ловкие поножи x1 | Станция: forge | Уровень: 14 | Нужно: Дикяя пыль x3, Лунная пластина x4, Крепкий корень x1
[130] Кузница стаи: Тотемный амулет -> Тотемный амулет x1 | Станция: forge | Уровень: 14 | Нужно: Сырой камень x4, Янтарный шкура x2, Сухой лист x2
[131] Кузница стаи: Лунный шлем №1 -> Лунный шлем №1 x1 | Станция: forge | Уровень: 15 | Нужно: Крепкий корень x2, Буревой нить x3, Тонкий слиток x1
[132] Кузница стаи: Яростные наручи №2 -> Яростные наручи №2 x1 | Станция: forge | Уровень: 15 | Нужно: Сухой лист x3, Дикяя пыль x4, Шероховатый клык x2
[133] Кузница стаи: Багряный амулет №3 -> Багряный амулет №3 x1 | Станция: forge | Уровень: 15 | Нужно: Тонкий слиток x4, Сырой камень x2, Чистый кристалл x1
[134] Кузница стаи: Штормовой плащ №4 -> Штормовой плащ №4 x1 | Станция: forge | Уровень: 15 | Нужно: Шероховатый клык x2, Крепкий корень x3, Лунная пластина x2
[135] Кузница стаи: Тотемные перчатки №5 -> Тотемные перчатки №5 x1 | Станция: forge | Уровень: 15 | Нужно: Чистый кристалл x3, Сухой лист x4, Янтарный шкура x1
[136] Кузница стаи: Стражевой шлем №6 -> Стражевой шлем №6 x1 | Станция: forge | Уровень: 16 | Нужно: Лунная пластина x4, Тонкий слиток x2, Буревой нить x2
[137] Кузница стаи: Туманные наручи №7 -> Туманные наручи №7 x1 | Станция: forge | Уровень: 16 | Нужно: Янтарный шкура x2, Шероховатый клык x3, Дикяя пыль x1
[138] Кузница стаи: Имперский амулет №8 -> Имперский амулет №8 x1 | Станция: forge | Уровень: 16 | Нужно: Буревой нить x3, Чистый кристалл x4, Полярный осколок №1 x2
[139] Кузница стаи: Следопытский плащ №9 -> Следопытский плащ №9 x1 | Станция: forge | Уровень: 16 | Нужно: Дикяя пыль x4, Лунная пластина x2, Дикий волокно №2 x1
[140] Кузница стаи: Клыкастые перчатки №10 -> Клыкастые перчатки №10 x1 | Станция: forge | Уровень: 16 | Нужно: Сырой камень x2, Янтарный шкура x3, Сумеречный панцирь №3 x2
[141] Лисья алхимия: Малая микстура жизни -> Малая микстура жизни x1 | Станция: alchemy | Уровень: 2 | Нужно: Камень x2, Трава x1, Лесный кусок x1
[142] Лисья алхимия: Средняя микстура энергии -> Средняя микстура энергии x1 | Станция: alchemy | Уровень: 2 | Нужно: Верёвка x3, Перо x2, Дымный рулет x1
[143] Лисья алхимия: Большая настойка -> Большая настойка x1 | Станция: alchemy | Уровень: 2 | Нужно: Гриб x2, Кость x3, Пряный пирог x1
[144] Лисья алхимия: Точная сыворотка -> Точная сыворотка x1 | Станция: alchemy | Уровень: 2 | Нужно: Малина x3, Кожа x1, Сочная похлёбка x1
[145] Лисья алхимия: Яростная эссенция -> Яростная эссенция x1 | Станция: alchemy | Уровень: 2 | Нужно: Трава x2, Железная руда x2, Тёплый шашлык x1
[146] Лисья алхимия: Лёгкая капсула -> Лёгкая капсула x1 | Станция: alchemy | Уровень: 2 | Нужно: Перо x3, Кристалл x3, Ягодный сок x1
[147] Лисья алхимия: Твёрдая микстура жизни -> Твёрдая микстура жизни x1 | Станция: alchemy | Уровень: 3 | Нужно: Кость x2, Клык x1, Грибной кусок x1
[148] Лисья алхимия: Удачливая микстура энергии -> Удачливая микстура энергии x1 | Станция: alchemy | Уровень: 3 | Нужно: Кожа x3, Толстая шкура x2, Речной рулет x1
[149] Лисья алхимия: Теневая настойка -> Теневая настойка x1 | Станция: alchemy | Уровень: 3 | Нужно: Железная руда x2, Сталь x3, Теневой пирог x1
[150] Лисья алхимия: Временная сыворотка -> Временная сыворотка x1 | Станция: alchemy | Уровень: 3 | Нужно: Кристалл x3, Янтарь x1, Янтарная похлёбка x1
[151] Лисья алхимия: Малая эссенция -> Малая эссенция x1 | Станция: alchemy | Уровень: 3 | Нужно: Клык x2, Лунная пыль x2, Лесный шашлык x1
[152] Лисья алхимия: Средняя капсула -> Средняя капсула x1 | Станция: alchemy | Уровень: 3 | Нужно: Толстая шкура x3, Пластина титана x3, Дымный сок x1
[153] Лисья алхимия: Большая микстура жизни -> Большая микстура жизни x1 | Станция: alchemy | Уровень: 4 | Нужно: Сталь x2, Сердце бури x1, Пряный кусок x1
[154] Лисья алхимия: Точная микстура энергии -> Точная микстура энергии x1 | Станция: alchemy | Уровень: 4 | Нужно: Янтарь x3, Слеза луны x2, Сочный рулет x1
[155] Лисья алхимия: Яростная настойка -> Яростная настойка x1 | Станция: alchemy | Уровень: 4 | Нужно: Лунная пыль x2, Сырой камень x3, Тёплый пирог x1
[156] Лисья алхимия: Лёгкая сыворотка -> Лёгкая сыворотка x1 | Станция: alchemy | Уровень: 4 | Нужно: Пластина титана x3, Крепкий корень x1, Ягодная похлёбка x1
[157] Лисья алхимия: Твёрдая эссенция -> Твёрдая эссенция x1 | Станция: alchemy | Уровень: 4 | Нужно: Сердце бури x2, Сухой лист x2, Грибной шашлык x1
[158] Лисья алхимия: Удачливая капсула -> Удачливая капсула x1 | Станция: alchemy | Уровень: 4 | Нужно: Слеза луны x3, Тонкий слиток x3, Речной сок x1
[159] Лисья алхимия: Теневая микстура жизни -> Теневая микстура жизни x1 | Станция: alchemy | Уровень: 5 | Нужно: Сырой камень x2, Шероховатый клык x1, Теневой кусок x1
[160] Лисья алхимия: Временная микстура энергии -> Временная микстура энергии x1 | Станция: alchemy | Уровень: 5 | Нужно: Крепкий корень x3, Чистый кристалл x2, Янтарный рулет x1
[161] Лисья алхимия: Малая настойка -> Малая настойка x1 | Станция: alchemy | Уровень: 5 | Нужно: Сухой лист x2, Лунная пластина x3, Лесный пирог x1
[162] Лисья алхимия: Средняя сыворотка -> Средняя сыворотка x1 | Станция: alchemy | Уровень: 5 | Нужно: Тонкий слиток x3, Янтарный шкура x1, Дымная похлёбка x1
[163] Лисья алхимия: Большая эссенция -> Большая эссенция x1 | Станция: alchemy | Уровень: 5 | Нужно: Шероховатый клык x2, Буревой нить x2, Пряный шашлык x1
[164] Лисья алхимия: Точная капсула -> Точная капсула x1 | Станция: alchemy | Уровень: 5 | Нужно: Чистый кристалл x3, Дикяя пыль x3, Сочный сок x1
[165] Лисья алхимия: Яростная микстура жизни -> Яростная микстура жизни x1 | Станция: alchemy | Уровень: 6 | Нужно: Лунная пластина x2, Сырой камень x1, Тёплый кусок x1
[166] Лисья алхимия: Лёгкая микстура энергии -> Лёгкая микстура энергии x1 | Станция: alchemy | Уровень: 6 | Нужно: Янтарный шкура x3, Крепкий корень x2, Ягодный рулет x1
[167] Лисья алхимия: Твёрдая настойка -> Твёрдая настойка x1 | Станция: alchemy | Уровень: 6 | Нужно: Буревой нить x2, Сухой лист x3, Грибной пирог x1
[168] Лисья алхимия: Удачливая сыворотка -> Удачливая сыворотка x1 | Станция: alchemy | Уровень: 6 | Нужно: Дикяя пыль x3, Тонкий слиток x1, Речная похлёбка x1
[169] Лисья алхимия: Теневая эссенция -> Теневая эссенция x1 | Станция: alchemy | Уровень: 6 | Нужно: Сырой камень x2, Шероховатый клык x2, Теневой шашлык x1
[170] Лисья алхимия: Временная капсула -> Временная капсула x1 | Станция: alchemy | Уровень: 6 | Нужно: Крепкий корень x3, Чистый кристалл x3, Янтарный сок x1
[171] Лисья алхимия: Малая микстура жизни -> Малая микстура жизни x1 | Станция: alchemy | Уровень: 7 | Нужно: Сухой лист x2, Лунная пластина x1, Лесный кусок x1
[172] Лисья алхимия: Средняя микстура энергии -> Средняя микстура энергии x1 | Станция: alchemy | Уровень: 7 | Нужно: Тонкий слиток x3, Янтарный шкура x2, Дымный рулет x1
